"","merged_dataA[, 1]"
"TACSTD2",5.41343737983886
"TLK2",6.34868574438431
"DST",5.59457965218895
"MLLT1",7.89718021451903
"CRELD1",7.10053152380471
"ISG20L2",6.93621446111022
"CRK",6.85585265470142
"TCRA /// TCRA /// TRAV10 /// TRAV10 /// YME1L1",5.51483760457546
"RASGRP3",5.76686823961194
"AIMP2",7.870920572037
"PNPLA4",7.61068334868271
"RFC2",6.22280908172627
"EDA",7.96937874697311
"DLG5",7.23008292587408
"ETV3",7.3453421006708
"PNO1",7.44924784376826
"CLIC1",10.1301645056083
"GZMB",7.47251581623974
"RASSF7",9.32468852607156
"DSTYK",5.08680437517794
"MIR1204 /// PVT1",6.16298386845168
"DYRK4",7.32422194488602
"SND1",8.45292040814383
"WARS",8.72756826264124
"PSMF1",6.90396275865271
"PRPH2",6.6727847068602
"BAGE",5.08033138659779
"PTPRG",5.96762389126248
"SMAD4",4.15874179921794
"SUPT7L",6.14084091963658
"CDC42",7.43382734579989
"SRPX2",5.64293428996815
"ZNF510",5.85894025783532
"KCNJ15",6.40661280280552
"SNRPG",8.03818192741024
"CDK6",7.19676416715461
"MAP3K11",8.09321849155292
"BTD",7.57916316193933
"GUCY1B3",6.77320485107248
"LOC1720",3.7263029222
"PRMT2",7.8653323850136
"GRN",8.94089897050996
"MAPKAPK3",7.38572902413428
"HSPA12A",7.192906756171
"KLRD1",5.45758788249854
"EHD1",8.49938859530457
"CEACAM1",6.60838108297166
"ZNF629",7.12716420231474
"ABCB11",5.02314799437711
"JAKMIP1",7.28804188891032
"EEA1",4.92191659014607
"ADM",6.85380182303345
"TRIM3",7.41314636260236
"PGK1",7.77537180269502
"TCERG1",4.84622289676105
"MAST2",6.24902573339482
"PSMB4",7.8336032447085
"NOX1",7.25262417835678
"BBX",7.51116596435423
"FRAT2",8.32316964693893
"TAP1",8.34441122668194
"SIN3B",7.82041650174234
"STK4",5.1782696295072
"MAF",7.42194307284177
"KHNYN",8.37207547565279
"DNAJB12",6.74492689188545
"ENPP1",4.51014925788243
"BCL7A",7.27568780061281
"TNK2",6.59987139379631
"NTRK3",6.70612674643301
"CLTCL1",6.72248057520421
"GGT1 /// GGT2 /// GGTLC1 /// GGTLC2",8.58103504059867
"OR2F1",6.80154911306775
"AAK1",7.79237847823195
"PSMD4",9.14519394485957
"COL15A1",5.57163684972626
"DMWD",8.14479701515268
"TMEM159",6.63346961234036
"RPS6KA2",7.13584953984257
"DHX16",6.9547159766596
"MGAM",8.23929583517358
"ADORA1",7.11637390246719
"DNASE2",7.34217656938469
"LOC729966 /// PDE4C",7.83067414353286
"CYP3A5",6.47518181815093
"TYMP",8.10620427633511
"TRAF3IP1",6.52882957139479
"ZNF33B",4.64340872003538
"KLF7",6.02326730253158
"VDAC1",7.1907822534753
"THSD7A",6.11926758408599
"GK",6.67632391014353
"STAT3",7.66420085559958
"MCAT",7.28653395709062
"SP100",5.7840091863897
"MAP4K5",4.91434617526529
"DPY19L4",5.54085463620547
"HIST1H1D",7.31646007592456
"CACNA1S",6.4660905591721
"HP",7.23841878250186
"CAPG",8.59010614411667
"KIAA0040",7.59492052428134
"MYOF",6.83846688417501
"IL18RAP",7.52816962777784
"COQ7",6.00861511566635
"SKP1",10.0980827717269
"CYP19A1",4.48770610153926
"LDB3",5.58100534094475
